Age,Height,Weight,Team,Year,City,Event,Medal
18.0,170.0,60.0,Portugal,1988,Seoul,Gymnastics Men's Individual All-Around,---
22.0,169.0,65.0,Romania,1984,Los Angeles,Gymnastics Men's Individual All-Around,---
26.0,169.0,65.0,Romania,1988,Seoul,Gymnastics Men's Individual All-Around,---
22.0,173.0,68.0,Brazil,1988,Seoul,Gymnastics Men's Individual All-Around,---
22.0,163.0,57.0,United States,1936,Berlin,Gymnastics Men's Individual All-Around,---
22.0,175.0,75.0,Argentina,1964,Tokyo,Gymnastics Men's Individual All-Around,---
21.0,168.0,66.0,Russia,2008,Beijing,Gymnastics Men's Individual All-Around,---
19.0,161.0,56.0,Russia,1996,Atlanta,Gymnastics Men's Individual All-Around,---
23.0,161.0,56.0,Russia,2000,Sydney,Gymnastics Men's Individual All-Around,---
21.0,168.0,58.0,Romania,2004,Athina,Gymnastics Men's Individual All-Around,---
25.0,168.0,58.0,Romania,2008,Beijing,Gymnastics Men's Individual All-Around,---
29.0,168.0,69.0,Soviet Union,1960,Roma,Gymnastics Men's Individual All-Around,---
22.0,176.0,66.0,Poland,1980,Moskva,Gymnastics Men's Individual All-Around,---
26.0,173.0,67.0,Romania,2004,Athina,Gymnastics Men's Individual All-Around,---
23.0,174.0,61.0,France,1996,Atlanta,Gymnastics Men's Individual All-Around,---
28.0,174.0,61.0,France,2000,Sydney,Gymnastics Men's Individual All-Around,---
23.0,169.0,70.0,Italy,2004,Athina,Gymnastics Men's Individual All-Around,---
27.0,169.0,70.0,Italy,2008,Beijing,Gymnastics Men's Individual All-Around,---
31.0,169.0,70.0,Italy,2012,London,Gymnastics Men's Individual All-Around,---
20.0,168.0,66.0,Italy,1988,Seoul,Gymnastics Men's Individual All-Around,---
24.0,168.0,66.0,Italy,1992,Barcelona,Gymnastics Men's Individual All-Around,---
28.0,168.0,66.0,Italy,1996,Atlanta,Gymnastics Men's Individual All-Around,---
20.0,172.0,65.0,Bulgaria,1960,Roma,Gymnastics Men's Individual All-Around,---
24.0,172.0,65.0,Bulgaria,1964,Tokyo,Gymnastics Men's Individual All-Around,---
19.0,166.0,62.0,Cuba,1968,Mexico City,Gymnastics Men's Individual All-Around,---
21.0,168.0,63.0,Great Britain,2012,London,Gymnastics Men's Individual All-Around,---
23.0,167.0,57.0,Bulgaria,1980,Moskva,Gymnastics Men's Individual All-Around,---
26.0,170.0,62.0,Bulgaria,1972,Munich,Gymnastics Men's Individual All-Around,---
24.0,170.0,62.0,Finland,1968,Mexico City,Gymnastics Men's Individual All-Around,---
28.0,166.0,67.0,Poland,1960,Roma,Gymnastics Men's Individual All-Around,---
21.0,176.0,66.0,Cuba,1964,Tokyo,Gymnastics Men's Individual All-Around,---
25.0,176.0,66.0,Cuba,1968,Mexico City,Gymnastics Men's Individual All-Around,---
20.0,154.0,54.0,Cuba,1968,Mexico City,Gymnastics Men's Individual All-Around,---
24.0,154.0,54.0,Cuba,1972,Munich,Gymnastics Men's Individual All-Around,---
25.0,172.0,67.0,Finland,1964,Tokyo,Gymnastics Men's Individual All-Around,---
29.0,172.0,67.0,Finland,1968,Mexico City,Gymnastics Men's Individual All-Around,---
22.0,168.0,61.0,Canada,1984,Los Angeles,Gymnastics Men's Individual All-Around,---
26.0,164.0,61.0,Switzerland,2000,Sydney,Gymnastics Men's Individual All-Around,---
23.0,170.0,72.0,West Germany,1968,Mexico City,Gymnastics Men's Individual All-Around,---
27.0,169.0,61.0,Ecuador,1968,Mexico City,Gymnastics Men's Individual All-Around,---
22.0,158.0,57.0,North Korea,2004,Athina,Gymnastics Men's Individual All-Around,---
21.0,173.0,65.0,Brazil,1980,Moskva,Gymnastics Men's Individual All-Around,---
19.0,169.0,67.0,Netherlands,2016,Rio de Janeiro,Gymnastics Men's Individual All-Around,---
18.0,170.0,68.0,United States,1988,Seoul,Gymnastics Men's Individual All-Around,---
23.0,163.0,55.0,West Germany,1972,Munich,Gymnastics Men's Individual All-Around,---
27.0,163.0,55.0,West Germany,1976,Montreal,Gymnastics Men's Individual All-Around,---
21.0,168.0,68.0,Puerto Rico,2008,Beijing,Gymnastics Men's Individual All-Around,---
21.0,163.0,62.0,Romania,1988,Seoul,Gymnastics Men's Individual All-Around,---
25.0,163.0,62.0,Romania,1992,Barcelona,Gymnastics Men's Individual All-Around,---
19.0,165.0,64.0,Australia,2000,Sydney,Gymnastics Men's Individual All-Around,---
23.0,165.0,64.0,Australia,2004,Athina,Gymnastics Men's Individual All-Around,---
22.0,153.0,63.0,Cuba,1980,Moskva,Gymnastics Men's Individual All-Around,---
23.0,161.0,57.0,France,2008,Beijing,Gymnastics Men's Individual All-Around,---
22.0,169.0,61.0,Brazil,2004,Athina,Gymnastics Men's Individual All-Around,---
18.0,174.0,65.0,Spain,1984,Los Angeles,Gymnastics Men's Individual All-Around,---
22.0,174.0,65.0,Spain,1988,Seoul,Gymnastics Men's Individual All-Around,---
26.0,174.0,65.0,Spain,1992,Barcelona,Gymnastics Men's Individual All-Around,---
20.0,166.0,70.0,Cuba,1968,Mexico City,Gymnastics Men's Individual All-Around,---
24.0,166.0,70.0,Cuba,1972,Munich,Gymnastics Men's Individual All-Around,---
31.0,168.0,66.0,Luxembourg,1928,Amsterdam,Gymnastics Men's Individual All-Around,---
25.0,170.0,75.0,United States,1968,Mexico City,Gymnastics Men's Individual All-Around,---
22.0,171.0,73.0,United States,1992,Barcelona,Gymnastics Men's Individual All-Around,---
26.0,171.0,73.0,United States,1996,Atlanta,Gymnastics Men's Individual All-Around,---
30.0,171.0,73.0,United States,2000,Sydney,Gymnastics Men's Individual All-Around,---
19.0,171.0,68.0,Switzerland,1968,Mexico City,Gymnastics Men's Individual All-Around,---
23.0,171.0,68.0,Switzerland,1972,Munich,Gymnastics Men's Individual All-Around,---
27.0,171.0,68.0,Switzerland,1976,Montreal,Gymnastics Men's Individual All-Around,---
22.0,172.0,69.0,West Germany,1976,Montreal,Gymnastics Men's Individual All-Around,---
30.0,172.0,69.0,West Germany,1984,Los Angeles,Gymnastics Men's Individual All-Around,---
24.0,175.0,67.0,Poland,1960,Roma,Gymnastics Men's Individual All-Around,---
28.0,175.0,67.0,Poland,1964,Tokyo,Gymnastics Men's Individual All-Around,---
32.0,175.0,67.0,Poland,1968,Mexico City,Gymnastics Men's Individual All-Around,---
24.0,163.0,57.0,Italy,1992,Barcelona,Gymnastics Men's Individual All-Around,---
26.0,167.0,59.0,Switzerland,1992,Barcelona,Gymnastics Men's Individual All-Around,---
24.0,170.0,65.0,Canada,1988,Seoul,Gymnastics Men's Individual All-Around,---
22.0,170.0,64.0,Spain,1988,Seoul,Gymnastics Men's Individual All-Around,---
25.0,170.0,64.0,Spain,1992,Barcelona,Gymnastics Men's Individual All-Around,---
21.0,164.0,61.0,Belarus,1996,Atlanta,Gymnastics Men's Individual All-Around,---
25.0,164.0,61.0,Belarus,2000,Sydney,Gymnastics Men's Individual All-Around,---
17.0,164.0,59.0,Bulgaria,1976,Montreal,Gymnastics Men's Individual All-Around,---
21.0,172.0,68.0,Russia,2008,Beijing,Gymnastics Men's Individual All-Around,---
20.0,166.0,62.0,East Germany,1972,Munich,Gymnastics Men's Individual All-Around,---
21.0,173.0,63.0,France,2008,Beijing,Gymnastics Men's Individual All-Around,---
28.0,155.0,59.0,Russia,2004,Athina,Gymnastics Men's Individual All-Around,---
21.0,167.0,63.0,Cuba,1972,Munich,Gymnastics Men's Individual All-Around,---
24.0,170.0,66.0,Japan,2000,Sydney,Gymnastics Men's Individual All-Around,---
21.0,163.0,56.0,Japan,2008,Beijing,Gymnastics Men's Individual All-Around,---
17.0,167.0,64.0,United States,1964,Tokyo,Gymnastics Men's Individual All-Around,---
25.0,167.0,64.0,United States,1972,Munich,Gymnastics Men's Individual All-Around,---
20.0,165.0,60.0,Italy,1988,Seoul,Gymnastics Men's Individual All-Around,---
24.0,165.0,60.0,Italy,1992,Barcelona,Gymnastics Men's Individual All-Around,---
23.0,170.0,70.0,Spain,2008,Beijing,Gymnastics Men's Individual All-Around,---
24.0,169.0,64.0,Spain,1972,Munich,Gymnastics Men's Individual All-Around,---
21.0,169.0,62.0,Romania,1996,Atlanta,Gymnastics Men's Individual All-Around,---
21.0,170.0,63.0,Romania,1988,Seoul,Gymnastics Men's Individual All-Around,---
25.0,170.0,63.0,Romania,1992,Barcelona,Gymnastics Men's Individual All-Around,---
22.0,162.0,64.0,Finland,1968,Mexico City,Gymnastics Men's Individual All-Around,---
25.0,172.0,65.0,Latvia,2004,Athina,Gymnastics Men's Individual All-Around,---
21.0,164.0,62.0,Armenia,1996,Atlanta,Gymnastics Men's Individual All-Around,---
20.0,161.0,64.0,Brazil,2012,London,Gymnastics Men's Individual All-Around,---
24.0,161.0,64.0,Brazil,2016,Rio de Janeiro,Gymnastics Men's Individual All-Around,---
19.0,170.0,62.0,Japan,1988,Seoul,Gymnastics Men's Individual All-Around,---
27.0,170.0,62.0,Japan,1996,Atlanta,Gymnastics Men's Individual All-Around,---
20.0,166.0,60.0,Belarus,2004,Athina,Gymnastics Men's Individual All-Around,---
24.0,166.0,60.0,Belarus,2008,Beijing,Gymnastics Men's Individual All-Around,---
24.0,167.0,63.0,Belarus,2008,Beijing,Gymnastics Men's Individual All-Around,---
20.0,172.0,64.0,Finland,1928,Amsterdam,Gymnastics Men's Individual All-Around,---
24.0,172.0,64.0,Finland,1932,Los Angeles,Gymnastics Men's Individual All-Around,Bronze
28.0,172.0,64.0,Finland,1936,Berlin,Gymnastics Men's Individual All-Around,---
40.0,172.0,64.0,Finland,1948,London,Gymnastics Men's Individual All-Around,---
44.0,172.0,64.0,Finland,1952,Helsinki,Gymnastics Men's Individual All-Around,---
23.0,174.0,66.0,Switzerland,2004,Athina,Gymnastics Men's Individual All-Around,---
27.0,174.0,66.0,Switzerland,2008,Beijing,Gymnastics Men's Individual All-Around,---
27.0,157.0,55.0,Hungary,1992,Barcelona,Gymnastics Men's Individual All-Around,---
23.0,165.0,58.0,Switzerland,1952,Helsinki,Gymnastics Men's Individual All-Around,---
31.0,165.0,58.0,Switzerland,1960,Roma,Gymnastics Men's Individual All-Around,---
