Age,Height,Weight,Team,Year,City,Event,Medal
29.0,167.0,55.0,Zimbabwe,2008,Beijing,Tennis Women's Singles,---
21.0,170.0,65.0,Latvia,1992,Barcelona,Tennis Women's Singles,---
23.0,168.0,59.0,Ukraine,2008,Beijing,Tennis Women's Singles,---
21.0,175.0,60.0,Ukraine,2008,Beijing,Tennis Women's Singles,---
25.0,175.0,60.0,Ukraine,2012,London,Tennis Women's Singles,---
26.0,178.0,63.0,Netherlands,2000,Sydney,Tennis Women's Singles,---
22.0,178.0,58.0,Canada,2016,Rio de Janeiro,Tennis Women's Singles,---
27.0,170.0,59.0,Puerto Rico,2004,Athina,Tennis Women's Singles,---
26.0,172.0,58.0,Turkey,2016,Rio de Janeiro,Tennis Women's Singles,---
30.0,177.0,58.0,Belgium,2000,Sydney,Tennis Women's Singles,---
22.0,165.0,56.0,Italy,2004,Athina,Tennis Women's Singles,---
16.0,173.0,61.0,United States,1992,Barcelona,Tennis Women's Singles,Gold
19.0,172.0,70.0,Switzerland,2004,Athina,Tennis Women's Singles,---
23.0,170.0,59.0,Italy,1988,Seoul,Tennis Women's Singles,---
27.0,170.0,59.0,Italy,1992,Barcelona,Tennis Women's Singles,---
20.0,163.0,66.0,Paraguay,2012,London,Tennis Women's Singles,---
24.0,163.0,66.0,Paraguay,2016,Rio de Janeiro,Tennis Women's Singles,---
27.0,172.0,64.0,Czech Republic,2012,London,Tennis Women's Singles,---
18.0,170.0,60.0,Chinese Taipei,2008,Beijing,Tennis Women's Singles,---
21.0,165.0,60.0,China,1992,Barcelona,Tennis Women's Singles,---
25.0,165.0,60.0,China,1996,Atlanta,Tennis Women's Singles,---
21.0,170.0,62.0,South Korea,1996,Atlanta,Tennis Women's Singles,---
18.0,175.0,63.0,Romania,2008,Beijing,Tennis Women's Singles,---
22.0,175.0,63.0,Romania,2012,London,Tennis Women's Singles,---
29.0,175.0,72.0,Belgium,2012,London,Tennis Women's Singles,---
20.0,157.0,53.0,South Africa,1992,Barcelona,Tennis Women's Singles,---
24.0,157.0,53.0,South Africa,1996,Atlanta,Tennis Women's Singles,---
28.0,157.0,53.0,South Africa,2000,Sydney,Tennis Women's Singles,---
22.0,172.0,68.0,New Zealand,1988,Seoul,Tennis Women's Singles,---
18.0,173.0,60.0,France,2008,Beijing,Tennis Women's Singles,---
22.0,173.0,60.0,France,2012,London,Tennis Women's Singles,---
26.0,173.0,60.0,France,2016,Rio de Janeiro,Tennis Women's Singles,---
25.0,172.0,61.0,Belgium,1996,Atlanta,Tennis Women's Singles,---
