Age,Height,Weight,Team,Year,City,Event,Medal
27.0,185.0,77.0,Australia,1988,Seoul,Tennis Men's Singles,---
25.0,179.0,77.0,Italy,2012,London,Tennis Men's Singles,---
29.0,179.0,77.0,Italy,2016,Rio de Janeiro,Tennis Men's Singles,---
23.0,189.0,79.0,France,1988,Seoul,Tennis Men's Singles,---
27.0,189.0,79.0,France,1992,Barcelona,Tennis Men's Singles,---
21.0,183.0,74.0,Argentina,1988,Seoul,Tennis Men's Singles,---
25.0,183.0,74.0,Argentina,1992,Barcelona,Tennis Men's Singles,---
29.0,183.0,74.0,Argentina,1996,Atlanta,Tennis Men's Singles,---
22.0,196.0,88.0,Australia,1992,Barcelona,Tennis Men's Singles,---
22.0,175.0,70.0,Italy,1992,Barcelona,Tennis Men's Singles,---
26.0,175.0,70.0,Italy,1996,Atlanta,Tennis Men's Singles,---
31.0,188.0,83.0,Russia,2016,Rio de Janeiro,Tennis Men's Singles,---
26.0,185.0,75.0,France,2012,London,Tennis Men's Singles,---
22.0,183.0,83.0,Italy,1996,Atlanta,Tennis Men's Singles,---
21.0,175.0,70.0,Argentina,2000,Sydney,Tennis Men's Singles,---
27.0,185.0,79.0,United States,1988,Seoul,Tennis Men's Singles,Bronze
25.0,188.0,84.0,United States,2008,Beijing,Tennis Men's Singles,---
24.0,188.0,75.0,Colombia,2012,London,Tennis Men's Singles,---
25.0,196.0,85.0,Germany,1996,Atlanta,Tennis Men's Singles,---
21.0,180.0,69.0,Belgium,2012,London,Tennis Men's Singles,---
25.0,180.0,69.0,Belgium,2016,Rio de Janeiro,Tennis Men's Singles,---
24.0,182.0,82.0,Chile,2004,Athina,Tennis Men's Singles,Bronze
28.0,182.0,82.0,Chile,2008,Beijing,Tennis Men's Singles,Silver
26.0,175.0,66.0,France,2004,Athina,Tennis Men's Singles,---
28.0,193.0,100.0,Australia,2016,Rio de Janeiro,Tennis Men's Singles,---
23.0,200.0,92.0,Australia,2008,Beijing,Tennis Men's Singles,---
19.0,190.0,76.0,Latvia,2008,Beijing,Tennis Men's Singles,---
24.0,188.0,90.0,Argentina,1996,Atlanta,Tennis Men's Singles,---
22.0,185.0,70.0,Zimbabwe,1988,Seoul,Tennis Men's Singles,---
25.0,185.0,86.0,Sweden,1992,Barcelona,Tennis Men's Singles,---
29.0,185.0,86.0,Sweden,1996,Atlanta,Tennis Men's Singles,---
26.0,188.0,80.0,Netherlands,1992,Barcelona,Tennis Men's Singles,---
30.0,188.0,80.0,Netherlands,1996,Atlanta,Tennis Men's Singles,---
22.0,188.0,78.0,Germany,2000,Sydney,Tennis Men's Singles,Silver
26.0,188.0,78.0,Germany,2004,Athina,Tennis Men's Singles,---
25.0,190.0,77.0,Netherlands,2012,London,Tennis Men's Singles,---
29.0,190.0,77.0,Netherlands,2016,Rio de Janeiro,Tennis Men's Singles,---
23.0,198.0,83.0,Romania,2004,Athina,Tennis Men's Singles,---
27.0,198.0,83.0,Romania,2008,Beijing,Tennis Men's Singles,---
20.0,183.0,82.0,United States,2012,London,Tennis Men's Singles,---
21.0,185.0,77.0,Great Britain,1996,Atlanta,Tennis Men's Singles,---
26.0,185.0,77.0,Great Britain,2000,Sydney,Tennis Men's Singles,---
29.0,185.0,77.0,Great Britain,2004,Athina,Tennis Men's Singles,---
18.0,180.0,76.0,Mexico,1996,Atlanta,Tennis Men's Singles,---
19.0,180.0,68.0,Australia,2000,Sydney,Tennis Men's Singles,---
27.0,180.0,68.0,Australia,2008,Beijing,Tennis Men's Singles,---
31.0,180.0,68.0,Australia,2012,London,Tennis Men's Singles,---
23.0,188.0,75.0,Switzerland,1988,Seoul,Tennis Men's Singles,---
27.0,188.0,75.0,Switzerland,1992,Barcelona,Tennis Men's Singles,---
23.0,180.0,80.0,Peru,2004,Athina,Tennis Men's Singles,---
22.0,182.0,75.0,Slovakia,2000,Sydney,Tennis Men's Singles,---
26.0,182.0,75.0,Slovakia,2004,Athina,Tennis Men's Singles,---
30.0,182.0,75.0,Slovakia,2008,Beijing,Tennis Men's Singles,---
24.0,182.0,73.0,Australia,2000,Sydney,Tennis Men's Singles,---
27.0,206.0,111.0,United States,2012,London,Tennis Men's Singles,---
25.0,188.0,88.0,Uzbekistan,2012,London,Tennis Men's Singles,---
29.0,188.0,88.0,Uzbekistan,2016,Rio de Janeiro,Tennis Men's Singles,---
24.0,181.0,75.0,Japan,2012,London,Tennis Men's Singles,---
17.0,194.0,78.0,Yugoslavia,1988,Seoul,Tennis Men's Singles,---
20.0,194.0,78.0,Croatia,1992,Barcelona,Tennis Men's Singles,Bronze
24.0,194.0,78.0,Croatia,1996,Atlanta,Tennis Men's Singles,---
29.0,194.0,78.0,Croatia,2000,Sydney,Tennis Men's Singles,---
23.0,180.0,70.0,Argentina,1988,Seoul,Tennis Men's Singles,---
23.0,182.0,80.0,South Korea,1992,Barcelona,Tennis Men's Singles,---
25.0,204.0,91.0,Poland,2016,Rio de Janeiro,Tennis Men's Singles,---
27.0,180.0,70.0,Sweden,1988,Seoul,Tennis Men's Singles,---
28.0,185.0,82.0,Tunisia,2012,London,Tennis Men's Singles,---
32.0,185.0,82.0,Tunisia,2016,Rio de Janeiro,Tennis Men's Singles,---
23.0,184.0,77.0,West Germany,1988,Seoul,Tennis Men's Singles,---
22.0,200.0,85.0,Sweden,2004,Athina,Tennis Men's Singles,---
25.0,175.0,80.0,Sweden,2000,Sydney,Tennis Men's Singles,---
33.0,175.0,80.0,Sweden,2008,Beijing,Tennis Men's Singles,---
26.0,188.0,86.0,United States,2016,Rio de Janeiro,Tennis Men's Singles,---
26.0,191.0,83.0,Russia,2000,Sydney,Tennis Men's Singles,Gold
29.0,192.0,82.0,Greece,1988,Seoul,Tennis Men's Singles,---
25.0,208.0,98.0,Croatia,2004,Athina,Tennis Men's Singles,---
25.0,185.0,81.0,Slovenia,2012,London,Tennis Men's Singles,---
23.0,182.0,80.0,Germany,2000,Sydney,Tennis Men's Singles,---
27.0,182.0,80.0,Germany,2004,Athina,Tennis Men's Singles,---
31.0,182.0,80.0,Germany,2008,Beijing,Tennis Men's Singles,---
26.0,180.0,75.0,South Korea,1988,Seoul,Tennis Men's Singles,---
24.0,185.0,70.0,Barbados,2016,Rio de Janeiro,Tennis Men's Singles,---
23.0,190.0,77.0,Slovakia,2012,London,Tennis Men's Singles,---
24.0,180.0,91.0,Bahamas,1996,Atlanta,Tennis Men's Singles,---
24.0,185.0,79.0,Netherlands,1992,Barcelona,Tennis Men's Singles,---
32.0,178.0,70.0,Germany,2016,Rio de Janeiro,Tennis Men's Singles,---
20.0,196.0,82.0,Australia,2016,Rio de Janeiro,Tennis Men's Singles,---
20.0,184.0,81.0,Poland,1988,Seoul,Tennis Men's Singles,---
31.0,170.0,63.0,India,1992,Barcelona,Tennis Men's Singles,---
21.0,188.0,77.0,Slovakia,1996,Atlanta,Tennis Men's Singles,---
30.0,190.0,86.0,Poland,2012,London,Tennis Men's Singles,---
22.0,188.0,75.0,Slovakia,1996,Atlanta,Tennis Men's Singles,---
26.0,188.0,75.0,Slovakia,2000,Sydney,Tennis Men's Singles,---
30.0,188.0,75.0,Slovakia,2004,Athina,Tennis Men's Singles,---
23.0,180.0,80.0,United States,2016,Rio de Janeiro,Tennis Men's Singles,---
24.0,190.0,76.0,Brazil,2000,Sydney,Tennis Men's Singles,---
27.0,190.0,76.0,Brazil,2004,Athina,Tennis Men's Singles,---
24.0,182.0,72.0,Kazakhstan,2012,London,Tennis Men's Singles,---
29.0,162.0,59.0,Japan,1920,Antwerpen,Tennis Men's Singles,Silver
25.0,185.0,71.0,Russia,2016,Rio de Janeiro,Tennis Men's Singles,---
24.0,186.0,83.0,Slovakia,2012,London,Tennis Men's Singles,---
22.0,180.0,75.0,Nigeria,1996,Atlanta,Tennis Men's Singles,---
19.0,190.0,85.0,Ecuador,1996,Atlanta,Tennis Men's Singles,---
27.0,190.0,85.0,Ecuador,2004,Athina,Tennis Men's Singles,---
31.0,190.0,85.0,Ecuador,2008,Beijing,Tennis Men's Singles,---
23.0,183.0,79.0,Canada,1996,Atlanta,Tennis Men's Singles,---
27.0,183.0,79.0,Canada,2000,Sydney,Tennis Men's Singles,---
22.0,193.0,93.0,Sweden,1992,Barcelona,Tennis Men's Singles,---
24.0,190.0,77.0,Canada,1988,Seoul,Tennis Men's Singles,---
21.0,188.0,79.0,Mexico,1988,Seoul,Tennis Men's Singles,---
25.0,188.0,79.0,Mexico,1992,Barcelona,Tennis Men's Singles,---
25.0,184.0,78.0,France,1988,Seoul,Tennis Men's Singles,---
29.0,184.0,78.0,France,1992,Barcelona,Tennis Men's Singles,---
24.0,180.0,81.0,South Korea,2000,Sydney,Tennis Men's Singles,---
28.0,180.0,81.0,South Korea,2004,Athina,Tennis Men's Singles,---
32.0,180.0,81.0,South Korea,2008,Beijing,Tennis Men's Singles,---
21.0,193.0,84.0,Croatia,2000,Sydney,Tennis Men's Singles,---
25.0,193.0,84.0,Croatia,2004,Athina,Tennis Men's Singles,---
28.0,190.0,80.0,France,2008,Beijing,Tennis Men's Singles,---
23.0,183.0,83.0,Togo,2008,Beijing,Tennis Men's Singles,---
22.0,188.0,84.0,Spain,2004,Athina,Tennis Men's Singles,---
30.0,188.0,84.0,Spain,2012,London,Tennis Men's Singles,---
34.0,183.0,77.0,Italy,2016,Rio de Janeiro,Tennis Men's Singles,---
