Age,Height,Weight,Team,Year,City,Event,Medal
17.0,165.0,62.0,Bulgaria,1968,Mexico City,Gymnastics Women's Individual All-Around,---
17.0,155.0,43.0,United States,1988,Seoul,Gymnastics Women's Individual All-Around,---
16.0,147.0,45.0,Switzerland,1972,Munich,Gymnastics Women's Individual All-Around,---
18.0,161.0,51.0,Switzerland,2004,Athina,Gymnastics Women's Individual All-Around,---
20.0,160.0,48.0,Spain,1996,Atlanta,Gymnastics Women's Individual All-Around,---
14.0,160.0,32.0,Spain,1980,Moskva,Gymnastics Women's Individual All-Around,---
18.0,160.0,32.0,Spain,1984,Los Angeles,Gymnastics Women's Individual All-Around,---
16.0,149.0,39.0,Spain,2000,Sydney,Gymnastics Women's Individual All-Around,---
20.0,163.0,56.0,Portugal,2016,Rio de Janeiro,Gymnastics Women's Individual All-Around,---
16.0,164.0,45.0,Bulgaria,1992,Barcelona,Gymnastics Women's Individual All-Around,---
18.0,167.0,62.0,Great Britain,2000,Sydney,Gymnastics Women's Individual All-Around,---
16.0,154.0,45.0,Bulgaria,1976,Montreal,Gymnastics Women's Individual All-Around,---
19.0,158.0,53.0,Czechoslovakia,1952,Helsinki,Gymnastics Women's Individual All-Around,---
23.0,158.0,53.0,Czechoslovakia,1956,Melbourne,Gymnastics Women's Individual All-Around,---
27.0,158.0,53.0,Czechoslovakia,1960,Roma,Gymnastics Women's Individual All-Around,---
18.0,162.0,48.0,Poland,1972,Munich,Gymnastics Women's Individual All-Around,---
26.0,162.0,48.0,Poland,1980,Moskva,Gymnastics Women's Individual All-Around,---
25.0,160.0,56.0,West Germany,1968,Mexico City,Gymnastics Women's Individual All-Around,---
23.0,150.0,41.0,Japan,1968,Mexico City,Gymnastics Women's Individual All-Around,---
27.0,150.0,41.0,Japan,1972,Munich,Gymnastics Women's Individual All-Around,---
30.0,150.0,41.0,Japan,1976,Montreal,Gymnastics Women's Individual All-Around,---
19.0,160.0,55.0,Slovenia,2000,Sydney,Gymnastics Women's Individual All-Around,---
17.0,157.0,49.0,United States,1960,Roma,Gymnastics Women's Individual All-Around,---
19.0,153.0,46.0,United States,1964,Tokyo,Gymnastics Women's Individual All-Around,---
16.0,154.0,43.0,United States,2004,Athina,Gymnastics Women's Individual All-Around,---
18.0,145.0,52.0,Canada,1988,Seoul,Gymnastics Women's Individual All-Around,---
17.0,160.0,54.0,Canada,1972,Munich,Gymnastics Women's Individual All-Around,---
21.0,160.0,54.0,Canada,1976,Montreal,Gymnastics Women's Individual All-Around,---
14.0,165.0,57.0,Canada,1968,Mexico City,Gymnastics Women's Individual All-Around,---
18.0,165.0,57.0,Canada,1972,Munich,Gymnastics Women's Individual All-Around,---
22.0,165.0,57.0,Canada,1976,Montreal,Gymnastics Women's Individual All-Around,---
17.0,159.0,57.0,New Zealand,2016,Rio de Janeiro,Gymnastics Women's Individual All-Around,---
16.0,144.0,36.0,Australia,2000,Sydney,Gymnastics Women's Individual All-Around,---
18.0,148.0,40.0,United States,1984,Los Angeles,Gymnastics Women's Individual All-Around,---
14.0,160.0,49.0,Hungary,1972,Munich,Gymnastics Women's Individual All-Around,---
18.0,160.0,49.0,Hungary,1976,Montreal,Gymnastics Women's Individual All-Around,---
16.0,151.0,44.0,Russia,2016,Rio de Janeiro,Gymnastics Women's Individual All-Around,---
20.0,160.0,54.0,United States,2008,Beijing,Gymnastics Women's Individual All-Around,---
17.0,153.0,52.0,Great Britain,1992,Barcelona,Gymnastics Women's Individual All-Around,---
16.0,155.0,50.0,Spain,2004,Athina,Gymnastics Women's Individual All-Around,---
17.0,156.0,49.0,United States,1964,Tokyo,Gymnastics Women's Individual All-Around,---
21.0,156.0,49.0,United States,1968,Mexico City,Gymnastics Women's Individual All-Around,---
25.0,156.0,49.0,United States,1972,Munich,Gymnastics Women's Individual All-Around,---
21.0,158.0,52.0,Netherlands,1960,Roma,Gymnastics Women's Individual All-Around,---
16.0,149.0,36.0,Belarus,2000,Sydney,Gymnastics Women's Individual All-Around,---
20.0,165.0,58.0,Poland,1964,Tokyo,Gymnastics Women's Individual All-Around,---
26.0,164.0,54.0,Bulgaria,1960,Roma,Gymnastics Women's Individual All-Around,---
18.0,167.0,50.0,Bulgaria,2012,London,Gymnastics Women's Individual All-Around,---
15.0,147.0,39.0,United States,1992,Barcelona,Gymnastics Women's Individual All-Around,Silver
19.0,147.0,39.0,United States,1996,Atlanta,Gymnastics Women's Individual All-Around,---
16.0,155.0,45.0,Greece,2000,Sydney,Gymnastics Women's Individual All-Around,---
28.0,155.0,45.0,Greece,2012,London,Gymnastics Women's Individual All-Around,---
15.0,152.0,41.0,United States,1988,Seoul,Gymnastics Women's Individual All-Around,---
18.0,165.0,57.0,Canada,1968,Mexico City,Gymnastics Women's Individual All-Around,---
18.0,148.0,38.0,Japan,2008,Beijing,Gymnastics Women's Individual All-Around,---
16.0,165.0,50.0,Hungary,1988,Seoul,Gymnastics Women's Individual All-Around,---
16.0,165.0,49.0,Hungary,1988,Seoul,Gymnastics Women's Individual All-Around,---
17.0,152.0,42.0,Australia,2008,Beijing,Gymnastics Women's Individual All-Around,---
16.0,153.0,42.0,Bulgaria,1992,Barcelona,Gymnastics Women's Individual All-Around,---
17.0,150.0,40.0,Japan,1992,Barcelona,Gymnastics Women's Individual All-Around,---
21.0,150.0,40.0,Japan,1996,Atlanta,Gymnastics Women's Individual All-Around,---
18.0,151.0,48.0,Japan,1972,Munich,Gymnastics Women's Individual All-Around,---
17.0,140.0,38.0,China,1996,Atlanta,Gymnastics Women's Individual All-Around,---
15.0,153.0,42.0,Germany,2008,Beijing,Gymnastics Women's Individual All-Around,---
14.0,139.0,34.0,United States,1996,Atlanta,Gymnastics Women's Individual All-Around,---
17.0,158.0,45.0,Japan,1984,Los Angeles,Gymnastics Women's Individual All-Around,---
19.0,160.0,47.0,North Korea,2000,Sydney,Gymnastics Women's Individual All-Around,---
19.0,168.0,62.0,Slovakia,2016,Rio de Janeiro,Gymnastics Women's Individual All-Around,---
17.0,159.0,47.0,Brazil,2004,Athina,Gymnastics Women's Individual All-Around,---
17.0,162.0,49.0,Hungary,1992,Barcelona,Gymnastics Women's Individual All-Around,---
21.0,162.0,49.0,Hungary,1996,Atlanta,Gymnastics Women's Individual All-Around,---
16.0,164.0,52.0,Hungary,1992,Barcelona,Gymnastics Women's Individual All-Around,---
20.0,166.0,57.0,Poland,1960,Roma,Gymnastics Women's Individual All-Around,---
18.0,143.0,37.0,Australia,1996,Atlanta,Gymnastics Women's Individual All-Around,---
19.0,150.0,45.0,United States,1960,Roma,Gymnastics Women's Individual All-Around,---
18.0,163.0,50.0,United States,1972,Munich,Gymnastics Women's Individual All-Around,---
17.0,150.0,47.0,Australia,2004,Athina,Gymnastics Women's Individual All-Around,---
14.0,146.0,45.0,Mexico,1968,Mexico City,Gymnastics Women's Individual All-Around,---
19.0,156.0,47.0,Spain,1980,Moskva,Gymnastics Women's Individual All-Around,---
16.0,157.0,43.0,France,2008,Beijing,Gymnastics Women's Individual All-Around,---
21.0,147.0,45.0,Mexico,2016,Rio de Janeiro,Gymnastics Women's Individual All-Around,---
25.0,164.0,58.0,Mexico,2004,Athina,Gymnastics Women's Individual All-Around,---
16.0,143.0,31.0,Spain,2004,Athina,Gymnastics Women's Individual All-Around,---
17.0,158.0,49.0,Australia,2008,Beijing,Gymnastics Women's Individual All-Around,---
22.0,151.0,43.0,Japan,1988,Seoul,Gymnastics Women's Individual All-Around,---
16.0,155.0,41.0,Japan,1988,Seoul,Gymnastics Women's Individual All-Around,---
16.0,160.0,54.0,Canada,1992,Barcelona,Gymnastics Women's Individual All-Around,---
17.0,140.0,34.0,Japan,1984,Los Angeles,Gymnastics Women's Individual All-Around,---
21.0,140.0,34.0,Japan,1988,Seoul,Gymnastics Women's Individual All-Around,---
15.0,138.0,33.0,Australia,1996,Atlanta,Gymnastics Women's Individual All-Around,---
18.0,143.0,44.0,Spain,2000,Sydney,Gymnastics Women's Individual All-Around,---
16.0,139.0,30.0,Spain,2000,Sydney,Gymnastics Women's Individual All-Around,---
20.0,139.0,30.0,Spain,2004,Athina,Gymnastics Women's Individual All-Around,---
16.0,155.0,46.0,Italy,1996,Atlanta,Gymnastics Women's Individual All-Around,---
16.0,167.0,56.0,Netherlands,1972,Munich,Gymnastics Women's Individual All-Around,---
16.0,151.0,42.0,Portugal,1988,Seoul,Gymnastics Women's Individual All-Around,---
16.0,150.0,43.0,Spain,2000,Sydney,Gymnastics Women's Individual All-Around,---
19.0,157.0,49.0,Great Britain,1972,Munich,Gymnastics Women's Individual All-Around,---
16.0,158.0,50.0,Hungary,1960,Roma,Gymnastics Women's Individual All-Around,---
21.0,158.0,50.0,Hungary,1964,Tokyo,Gymnastics Women's Individual All-Around,---
25.0,158.0,50.0,Hungary,1968,Mexico City,Gymnastics Women's Individual All-Around,---
16.0,160.0,46.0,United States,1968,Mexico City,Gymnastics Women's Individual All-Around,---
16.0,152.0,47.0,Canada,1976,Montreal,Gymnastics Women's Individual All-Around,---
14.0,150.0,42.0,Spain,1984,Los Angeles,Gymnastics Women's Individual All-Around,---
18.0,150.0,42.0,Spain,1988,Seoul,Gymnastics Women's Individual All-Around,---
16.0,154.0,43.0,Australia,2004,Athina,Gymnastics Women's Individual All-Around,---
19.0,146.0,48.0,Japan,2016,Rio de Janeiro,Gymnastics Women's Individual All-Around,---
27.0,160.0,55.0,Soviet Union,1956,Melbourne,Gymnastics Women's Individual All-Around,Bronze
31.0,160.0,55.0,Soviet Union,1960,Roma,Gymnastics Women's Individual All-Around,Silver
19.0,152.0,46.0,Great Britain,2000,Sydney,Gymnastics Women's Individual All-Around,---
18.0,163.0,48.0,Germany,2004,Athina,Gymnastics Women's Individual All-Around,---
17.0,162.0,48.0,Russia,2012,London,Gymnastics Women's Individual All-Around,Bronze
21.0,162.0,48.0,Russia,2016,Rio de Janeiro,Gymnastics Women's Individual All-Around,Bronze
16.0,156.0,50.0,Belgium,2008,Beijing,Gymnastics Women's Individual All-Around,---
20.0,156.0,50.0,Belgium,2012,London,Gymnastics Women's Individual All-Around,---
20.0,170.0,66.0,Hungary,1972,Munich,Gymnastics Women's Individual All-Around,---
15.0,145.0,40.0,Soviet Union,1980,Moskva,Gymnastics Women's Individual All-Around,---
21.0,158.0,50.0,Japan,1964,Tokyo,Gymnastics Women's Individual All-Around,---
25.0,158.0,50.0,Japan,1968,Mexico City,Gymnastics Women's Individual All-Around,---
16.0,158.0,45.0,Japan,1988,Seoul,Gymnastics Women's Individual All-Around,---
19.0,153.0,42.0,Belarus,2000,Sydney,Gymnastics Women's Individual All-Around,---
17.0,163.0,42.0,Spain,1984,Los Angeles,Gymnastics Women's Individual All-Around,---
16.0,154.0,49.0,Czechoslovakia,1964,Tokyo,Gymnastics Women's Individual All-Around,---
20.0,154.0,49.0,Czechoslovakia,1968,Mexico City,Gymnastics Women's Individual All-Around,---
24.0,154.0,49.0,Czechoslovakia,1972,Munich,Gymnastics Women's Individual All-Around,---
16.0,152.0,37.0,Australia,2004,Athina,Gymnastics Women's Individual All-Around,---
14.0,151.0,39.0,West Germany,1972,Munich,Gymnastics Women's Individual All-Around,---
21.0,152.0,47.0,Poland,1960,Roma,Gymnastics Women's Individual All-Around,---
25.0,152.0,47.0,Poland,1964,Tokyo,Gymnastics Women's Individual All-Around,---
21.0,160.0,55.0,Finland,1960,Roma,Gymnastics Women's Individual All-Around,---
24.0,159.0,55.0,Soviet Union,1960,Roma,Gymnastics Women's Individual All-Around,---
18.0,149.0,43.0,Romania,2008,Beijing,Gymnastics Women's Individual All-Around,---
17.0,158.0,40.0,East Germany,1968,Mexico City,Gymnastics Women's Individual All-Around,---
20.0,161.0,55.0,France,1968,Mexico City,Gymnastics Women's Individual All-Around,---
22.0,159.0,56.0,Poland,1956,Melbourne,Gymnastics Women's Individual All-Around,---
26.0,159.0,56.0,Poland,1960,Roma,Gymnastics Women's Individual All-Around,---
15.0,154.0,40.0,Japan,1976,Montreal,Gymnastics Women's Individual All-Around,---
17.0,156.0,45.0,Hungary,1996,Atlanta,Gymnastics Women's Individual All-Around,---
21.0,156.0,45.0,Hungary,2000,Sydney,Gymnastics Women's Individual All-Around,---
19.0,147.0,42.0,Japan,1996,Atlanta,Gymnastics Women's Individual All-Around,---
19.0,166.0,60.0,Poland,1968,Mexico City,Gymnastics Women's Individual All-Around,---
21.0,155.0,49.0,Japan,1968,Mexico City,Gymnastics Women's Individual All-Around,---
17.0,146.0,40.0,Japan,1996,Atlanta,Gymnastics Women's Individual All-Around,---
15.0,150.0,38.0,Japan,1976,Montreal,Gymnastics Women's Individual All-Around,---
17.0,162.0,43.0,United States,1992,Barcelona,Gymnastics Women's Individual All-Around,---
18.0,163.0,48.0,Romania,2000,Sydney,Gymnastics Women's Individual All-Around,Silver
18.0,160.0,50.0,Mexico,1972,Munich,Gymnastics Women's Individual All-Around,---
16.0,164.0,52.0,West Germany,1972,Munich,Gymnastics Women's Individual All-Around,---
20.0,164.0,52.0,West Germany,1976,Montreal,Gymnastics Women's Individual All-Around,---
24.0,157.0,60.0,Japan,1960,Roma,Gymnastics Women's Individual All-Around,---
28.0,157.0,60.0,Japan,1964,Tokyo,Gymnastics Women's Individual All-Around,---
18.0,146.0,47.0,Hungary,1992,Barcelona,Gymnastics Women's Individual All-Around,---
22.0,146.0,47.0,Hungary,1996,Atlanta,Gymnastics Women's Individual All-Around,---
18.0,157.0,50.0,Canada,2016,Rio de Janeiro,Gymnastics Women's Individual All-Around,---
18.0,164.0,63.0,Ireland,2016,Rio de Janeiro,Gymnastics Women's Individual All-Around,---
17.0,157.0,49.0,Peru,2016,Rio de Janeiro,Gymnastics Women's Individual All-Around,---
18.0,149.0,39.0,Japan,2004,Athina,Gymnastics Women's Individual All-Around,---
22.0,149.0,39.0,Japan,2008,Beijing,Gymnastics Women's Individual All-Around,---
14.0,154.0,39.0,Hungary,1976,Montreal,Gymnastics Women's Individual All-Around,---
18.0,154.0,39.0,Hungary,1980,Moskva,Gymnastics Women's Individual All-Around,---
15.0,152.0,42.0,Hungary,1988,Seoul,Gymnastics Women's Individual All-Around,---
23.0,152.0,42.0,Hungary,1996,Atlanta,Gymnastics Women's Individual All-Around,---
21.0,152.0,41.0,Japan,1984,Los Angeles,Gymnastics Women's Individual All-Around,---
18.0,151.0,40.0,Spain,1996,Atlanta,Gymnastics Women's Individual All-Around,---
17.0,158.0,48.0,Czech Republic,2008,Beijing,Gymnastics Women's Individual All-Around,---
21.0,158.0,48.0,Czech Republic,2012,London,Gymnastics Women's Individual All-Around,---
16.0,160.0,44.0,Bulgaria,1992,Barcelona,Gymnastics Women's Individual All-Around,---
24.0,165.0,53.0,Bulgaria,1972,Munich,Gymnastics Women's Individual All-Around,---
16.0,160.0,48.0,Greece,1996,Atlanta,Gymnastics Women's Individual All-Around,---
18.0,154.0,49.0,South Korea,2004,Athina,Gymnastics Women's Individual All-Around,---
15.0,157.0,43.0,South Korea,1988,Seoul,Gymnastics Women's Individual All-Around,---
17.0,162.0,59.0,Canada,1960,Roma,Gymnastics Women's Individual All-Around,---
18.0,160.0,44.0,Italy,2008,Beijing,Gymnastics Women's Individual All-Around,---
16.0,160.0,60.0,Austria,1960,Roma,Gymnastics Women's Individual All-Around,---
21.0,160.0,60.0,Austria,1964,Tokyo,Gymnastics Women's Individual All-Around,---
21.0,166.0,59.0,Bulgaria,1968,Mexico City,Gymnastics Women's Individual All-Around,---
16.0,152.0,44.0,United States,2004,Athina,Gymnastics Women's Individual All-Around,Gold
14.0,150.0,42.0,Romania,1984,Los Angeles,Gymnastics Women's Individual All-Around,Bronze
17.0,159.0,52.0,Romania,1972,Munich,Gymnastics Women's Individual All-Around,---
16.0,152.0,43.0,Russia,2004,Athina,Gymnastics Women's Individual All-Around,---
20.0,152.0,43.0,Russia,2008,Beijing,Gymnastics Women's Individual All-Around,---
22.0,156.0,50.0,Bulgaria,1960,Roma,Gymnastics Women's Individual All-Around,---
14.0,148.0,36.0,Spain,1996,Atlanta,Gymnastics Women's Individual All-Around,---
18.0,157.0,54.0,Canada,2012,London,Gymnastics Women's Individual All-Around,---
18.0,151.0,45.0,Spain,2016,Rio de Janeiro,Gymnastics Women's Individual All-Around,---
15.0,159.0,47.0,Italy,1972,Munich,Gymnastics Women's Individual All-Around,---
19.0,159.0,47.0,Italy,1976,Montreal,Gymnastics Women's Individual All-Around,---
20.0,155.0,54.0,Great Britain,1960,Roma,Gymnastics Women's Individual All-Around,---
17.0,161.0,52.0,Belgium,2000,Sydney,Gymnastics Women's Individual All-Around,---
16.0,152.0,50.0,United States,2008,Beijing,Gymnastics Women's Individual All-Around,---
15.0,156.0,42.0,France,2008,Beijing,Gymnastics Women's Individual All-Around,---
